Destination Murder;Edward L. Cahn;Film noir;RKO
Devil's Doorway;Anthony Mann;Western;MGM
Dial 1119;Gerald Mayer;Film noir;MGM
Duchess of Idaho;Robert Z. Leonard;Musical;MGM
Double Deal;Abby Berlin;Crime drama;RKO
The Du Pont Story;Wilhelm Thiele;Biographical;Independent
Dynamite Pass;Lew Landers;Western;RKO
The Eagle and the Hawk;Lewis R. Foster;Western;Paramount
Edge of Doom;Mark Robson;Film noir;RKO
Emergency Wedding;Edward Buzzell;Comedy;Columbia
Everybody's Dancin';Will Jason;Musical;Lippert
Experiment Alcatraz;Edward L. Cahn;Drama;RKO
Fancy Pants;George Marshall;Comedy;Paramount
Fast on the Draw;Thomas Carr;Western;Lippert
Father Is a Bachelor;Abby Berlin, Norman Foster;Romantic comedy;Columbia
Father of the Bride;Vincente Minnelli;Comedy;"MGM. 3 Oscar nominations; sequel in 1951; remade in 1991"
Father Makes Good;Jean Yarbrough;Comedy;Monogram
Father's Wild Game;Herbert I. Leeds;Comedy;Monogram
Federal Agent at Large;George Blair;Crime;Republic
Federal Man;Robert Emmett Tansey;Thriller;Eagle-Lion
Fence Riders;Wallace Fox;Western;Monogram
The Fighting Stallion;Robert Emmett Tansey;Western;Eagle-Lion
The File on Thelma Jordon;Robert Siodmak;Film noir;Paramount
The Fireball;Tay Garnett;Drama;20th Century Fox
The Flame and the Arrow;Jacques Tourneur;Adventure;Warner Bros.
The Flying Missile;Henry Levin;War;Columbia
The Flying Saucer;Mikel Conrad;Science fiction;Film Classics. First film with flying saucers
For Heaven's Sake;George Seaton;Fantasy, comedy;20th Century Fox. Adapted from play May We Come In?
Forbidden Jungle;Robert Emmett Tansey;Adventure;Eagle-Lion
Fortunes of Captain Blood;Gordon Douglas;Adventure;Columbia. Remake of 1935's Captain Blood
Francis;Arthur Lubin;Comedy;"Universal. Launched ""Talking Mule"" series"
Frenchie;Louis King;Western;Universal. Loosely based on Destry Rides Again
Frisco Tornado;R. G. Springsteen;Western;Republic
Frontier Outpost;Ray Nazarro;Western;Columbia
The Fuller Brush Girl;Lloyd Bacon;Comedy;Columbia. Cameo by Red Skelton
The Furies;Anthony Mann;Western, film noir;Paramount. Huston's last performance
The Girl from San Lorenzo;Derwin Abrahams;Western;United Artists
Girls' School;Lew Landers;Drama;Columbia
The Glass Menagerie;Irving Rapper;Drama;Warner Bros. Based on the play by Tennessee Williams
The Goldbergs;Walter Hart;Comedy;Paramount
The Golden Gloves Story;Felix E. Feist;Drama;Eagle-Lion
The Good Humor Man;Lloyd Bacon;Comedy;Columbia
The Great Jewel Robber;Peter Godfrey;Crime;Warner Bros.
The Great Plane Robbery;Edward L. Cahn;Drama;United Artists
The Great Rupert;Irving Pichel;Comedy;Eagle-Lion
Guilty Bystander;Joseph Lerner;Film noir;Film Classics
Guilty of Treason;Felix E. Feist;Drama;Eagle-Lion
Gun Crazy;Joseph H. Lewis;Film noir;United Artists. aka Deadly Is the Female
The Gunfighter;Henry King;Western;20th Century Fox
Gunfire;William Berke;Western;Lippert
Gunman in the Streets;Frank Tuttle;Film noir;Independent. Shot on location in Paris
Gunmen of Abilene;Fred C. Brannon;Western;Republic
Gunslingers;Wallace Fox;Western;Monogram
The Happy Years;William A. Wellman;Comedy;MGM
Harbor of Missing Men;R. G. Springsteen;Action;Columbia
Harriet Craig;Vincent Sherman;Drama;Columbia. Based on the 1925 play Craig's Wife
Harvey;Henry Koster;Fantasy, comedy;"Universal. Based on the 1944 play; Academy Award for Hull"
He's a Cockeyed Wonder;Peter Godfrey;Comedy;Columbia
Hi-Jacked;Sam Newfield;Film noir;Lippert
The Hidden City;Ford Beebe;Adventure;Monogram
High Lonesome;Alan Le May;Western;Eagle-Lion Films
Highway 301;Andrew L. Stone;Film noir;Warner Bros.
Hills of Oklahoma;R. G. Springsteen;Western;Republic
Hit Parade of 1951;John H. Auer;Musical;Republic
Hoedown;Ray Nazarro;Musical;Columbia
Holiday Rhythm;Jack Scholl;Musical;Lippert
Hollywood Varieties;Paul Landres;Musical;Lippert
Hostile Country;Thomas Carr;Western;Lippert
Hot Rod;Lewis D. Collins;Drama;Monogram
House by the River;Fritz Lang;Film noir;Republic
I Killed Geronimo;John Hoffman;Western;Eagle-Lion
I Shot Billy the Kid;William Berke;Western;Lippert
I Was a Shoplifter;Charles Lamont;Film noir;Universal
I'll Get By;Richard Sale;Musical;20th Century Fox
In a Lonely Place;Nicholas Ray;Film noir;"Columbia; adapted from 1947 novel"
Indian Territory;John English;Western;Columbia
The Iroquois Trail;Phil Karlson;Western;United Artists
It's a Small World;William Castle;Drama;Eagle-Lion
The Jackie Robinson Story;Alfred E. Green;Biography;Eagle-Lion. Starring Robinson as himself
The Jackpot;Walter Lang;Comedy;20th Century Fox. Features a young Natalie Wood
Jiggs and Maggie Out West;William Beaudine;Comedy;Monogram
Joe Palooka in Humphrey Takes a Chance;Jean Yarbrough;Comedy;Monogram
Joe Palooka in The Squared Circle;Reginald Le Borg;Comedy;Monogram
Joe Palooka Meets Humphrey;Jean Yarbrough;Comedy;Monogram
Johnny One-Eye;Robert Florey;Film noir;United Artists
Julius Caesar;David Bradley;Drama;Shot in Chicago
The Kangaroo Kid;Lesley Selander;Western;United Artists
Kansas Raiders;Ray Enright;Western;Universal
Key to the City;George Sidney;Romantic comedy;MGM
The Kid from Texas;Kurt Neumann;Western;Universal
Kill or Be Killed;Max Nosseck;Crime;Eagle-Lion
Kill the Umpire;Lloyd Bacon;Comedy;Columbia
Killer Shark;Budd Boetticher;Adventure;Monogram[1]
The Killer That Stalked New York;Earl McEvoy;Film noir;Columbia. Based on Cosmo article
Kim;Victor Saville;Adventure;MGM. Based on the novel
King of the Bullwhip;Ron Ormond;Western;Realart
King Solomon's Mines;Compton Bennett;Adventure;MGM. Based on the 1885 novel
Kiss Tomorrow Goodbye;Gordon Douglas;Drama;Warner Bros.
A Lady Without Passport;Joseph H. Lewis;Film noir;MGM
Last of the Buccaneers;Lew Landers;Adventure;Columbia
Law of the Badlands;Lesley Selander;Western;RKO
Law of the Panhandle;Lewis D. Collins;Western;Monogram
The Lawless;Joseph Losey;Drama;Paramount
Let's Dance;Norman Z. McLeod;Musical comedy;Paramount
A Life of Her Own;George Cukor;Drama;MGM
Lightning Guns;Fred F. Sears;Western;Columbia
Lonely Heart Bandits;George Blair;Drama;Republic
The Lost Volcano;Ford Beebe;Adventure;Monogram
Louisa;Alexander Hall;Comedy;Universal. Piper Laurie's film debut
Love Happy;David Miller;Comedy;United Artists. Last Marx Brothers film
Love That Brute;Alexander Hall;Comedy;20th Century Fox
Lucky Losers;William Beaudine;Comedy;Monogram
Ma and Pa Kettle Go to Town;Charles Lamont;Comedy;Universal. 2nd of a series
The Magnificent Yankee;John Sturges;Biographical;Based on novel Mr. Justice Holmes
The Man Who Cheated Himself;Felix E. Feist;Film noir;20th Century Fox
Mark of the Gorilla;William Berke;Adventure;Columbia
Marshal of Heldorado;Thomas Carr;Western;Lippert
The Men;Fred Zinnemann;War;United Artists. Brando's film debut
Military Academy with That Tenth Avenue Gang;D. Ross Lederman;Comedy, drama;Columbia
The Milkman;Charles Barton;Comedy;Universal
The Miniver Story;H. C. Potter;Drama;MGM. Sequel to Mrs. Miniver
The Missourians;George Blair;Western;Republic
Mister 880;Edmund Goulding;Comedy;20th Century Fox
A Modern Marriage;Paul Landres;Drama;Monogram
Montana;Ray Enright;Western;Warner Bros.
Mother Didn't Tell Me;Claude Binyon;Comedy;20th Century Fox
Motor Patrol;Sam Newfield;Crime;Lippert
Mr. Music;Richard Haydn;Drama;Paramount
Mrs. O'Malley and Mr. Malone;Norman Taurog;Comedy;MGM
The Mudlark;Jean Negulesco;Comedy;20th Century Fox
Mule Train;John English;Western;Columbia
My Blue Heaven;Henry Koster;Comedy;20th Century Fox
My Friend Irma Goes West;Hal Walker;Comedy;Paramount. Sequel to My Friend Irma, 2nd Martin and Lewis film
Mystery Street;John Sturges;Film noir;MGM
Mystery Submarine;Douglas Sirk;Drama;Universal
Nancy Goes to Rio;Robert Z. Leonard;Musical;MGM. Remake of 1940's It's a Date
The Nevadan;Gordon Douglas;Western;Columbia
Never a Dull Moment;George Marshall;Comedy;RKO. Based on a 1943 novel
The Next Voice You Hear...;William A. Wellman;Drama;MGM
Night and the City;Jules Dassin;Film noir;20th Century Fox
No Man of Her Own;Mitchell Leisen;Film noir;Paramount. Remade in 1996 as Mrs. Winterbourne
North of the Great Divide;William Witney;Western;Republic
No Sad Songs for Me;Rudolph Maté;Drama;"Columbia; Sullavan's final film"
No Way Out;Joseph L. Mankiewicz;Film noir;"20th Century Fox. Film debut of Sidney Poitier; Remake of 1987 film"
